StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"QLD"," E","1","READING","Scott","Senator On-Line",21
"QLD"," E","1","EMBREY","Joh","Senator On-Line",22
"QLD"," E","1","VETTER","Anne","Carers Alliance",48
"QLD"," E","1","HORNE","Vicki","Carers Alliance",49
"QLD"," E","1","SPENCER","Paul","",40
"QLD"," E","1","SPENCER","Mary","",41
"QLD"," E","1","FRANCIS","Wendy","Family First",7
"QLD"," E","1","FINDLAY","Peter","Family First",8
"QLD"," E","1","NICKSON","Amanda","Family First",9
"QLD"," E","1","PETER","Andrew Mark","Shooters and Fishers",1
"QLD"," E","1","HUGGETT","Chris","Shooters and Fishers",2
"QLD"," E","1","PYKE","John Richard","",38
"QLD"," E","1","TOOLEY","Christopher Ronald","",39
"QLD"," E","1","LINDSAY-PARK","E-Jay","",36
"QLD"," E","1","GUERIN","Lachlan","",37
"QLD"," E","1","EVANS","Rod","One Nation",19
"QLD"," E","1","NELSON","Ian J","One Nation",20
"QLD"," E","1","WATTIE","Russell","",34
"QLD"," E","1","DOWELL","John","",35
"QLD"," E","1","STEVENSON","Paul Joseph","Australian Democrats",54
"QLD"," E","1","CLUSE","Jennifer","Australian Democrats",55
"QLD"," E","1","SCHUBACK","Peter","Australia First Party",32
"QLD"," E","1","MAINE","Nick","Australia First Party",33
"QLD"," E","1","ALBERTS","Kat","Secular Party of Australia",50
"QLD"," E","1","SHELTON","Peter","Secular Party of Australia",51
"QLD"," E","1","CARDWELL","Terence Leonard","The Climate Sceptics",15
"QLD"," E","1","JONES","Lance Herbert","The Climate Sceptics",16
"QLD"," E","1","THIES","Robert","Citizens Electoral Council",17
"QLD"," E","1","HETHERINGTON","Maurice Verney","Citizens Electoral Council",18
"QLD"," E","1","BRANDIS","George Henry","Liberal National Party of Queensland",10
"QLD"," E","1","JOYCE","Barnaby","Liberal National Party of Queensland",11
"QLD"," E","1","MASON","Brett","Liberal National Party of Queensland",12
"QLD"," E","1","TROOD","Russell","Liberal National Party of Queensland",13
"QLD"," E","1","BOYD","Julie","Liberal National Party of Queensland",14
"QLD"," E","1","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",3
"QLD"," E","1","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",4
"QLD"," E","1","GIBSON","Desiree Lee","Australian Sex Party",52
"QLD"," E","1","SHEEN","Tim","Australian Sex Party",53
"QLD"," E","1","WATERS","Larissa","The Greens",60
"QLD"," E","1","CONNORS","Elizabeth Louise Alice","The Greens",59
"QLD"," E","1","STIRLING","Jenny","The Greens",58
"QLD"," E","1","WATSON","Sam","Socialist Alliance",57
"QLD"," E","1","LOWE","David","Socialist Alliance",56
"QLD"," E","1","LUDWIG","Joe","Australian Labor Party",44
"QLD"," E","1","McLUCAS","Jan","Australian Labor Party",45
"QLD"," E","1","SMITH","David","Australian Labor Party",46
"QLD"," E","1","FENTIMAN","Shannon","Australian Labor Party",47
"QLD"," E","1","FRYAR","Jim","Liberal Democrats (LDP)",42
"QLD"," E","1","FULTON","Robert","Liberal Democrats (LDP)",43
"QLD"," E","1","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",29
"QLD"," E","1","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",30
"QLD"," E","1","JACKSON","Noel W","D.L.P. - Democratic Labor Party",31
"QLD"," E","1","BRICE","Malcolm","Christian Democratic Party",5
"QLD"," E","1","VOGEL","Tony","Christian Democratic Party",6
"QLD"," E","1","WHITE","Mark","Independent",23
"QLD"," E","1","BAMBRICK","Don","Independent",24
"QLD"," E","1","SMITH","Mark Leslie Chapman","Independent",25
"QLD"," E","1","WIRTH","Jarrod John","Independent",26
"QLD"," E","1","PYKE","Peter","",27
"QLD"," E","1","CARROLL","Maurie","Independent",28
"QLD"," F","1","READING","Scott","Senator On-Line",22
"QLD"," F","2","READING","Scott","Senator On-Line",22
"QLD"," F","1","EMBREY","Joh","Senator On-Line",23
"QLD"," F","2","EMBREY","Joh","Senator On-Line",23
"QLD"," F","1","VETTER","Anne","Carers Alliance",20
"QLD"," F","2","VETTER","Anne","Carers Alliance",20
"QLD"," F","1","HORNE","Vicki","Carers Alliance",21
"QLD"," F","2","HORNE","Vicki","Carers Alliance",21
"QLD"," F","1","SPENCER","Paul","",28
"QLD"," F","2","SPENCER","Paul","",28
"QLD"," F","1","SPENCER","Mary","",29
"QLD"," F","2","SPENCER","Mary","",29
"QLD"," F","1","FRANCIS","Wendy","Family First",46
"QLD"," F","2","FRANCIS","Wendy","Family First",46
"QLD"," F","1","FINDLAY","Peter","Family First",47
"QLD"," F","2","FINDLAY","Peter","Family First",47
"QLD"," F","1","NICKSON","Amanda","Family First",48
"QLD"," F","2","NICKSON","Amanda","Family First",48
"QLD"," F","1","PETER","Andrew Mark","Shooters and Fishers",49
"QLD"," F","2","PETER","Andrew Mark","Shooters and Fishers",49
"QLD"," F","1","HUGGETT","Chris","Shooters and Fishers",50
"QLD"," F","2","HUGGETT","Chris","Shooters and Fishers",50
"QLD"," F","1","PYKE","John Richard","",1
"QLD"," F","2","PYKE","John Richard","",1
"QLD"," F","1","TOOLEY","Christopher Ronald","",2
